@relation 'about128s-weka.filters.unsupervised.attribute.Remove-R7,9-11-weka.filters.unsupervised.attribute.NumericToNominal-R7'

@attribute rate numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute sigma4 numeric
@attribute sigma8 numeric
@attribute sigma16 numeric
@attribute class {1,2,3}

@data
820728,1.340411,0.877149,0.411438,0.24173,0.077157,3
2123198,0.278217,0.176582,0.141018,0.079179,0.039076,3
1918879,0.502289,0.385209,0.34668,0.305339,0.23099,3
24748,6.157127,4.328592,3.926295,2.75654,1.880673,1
27572,7.868184,5.561429,3.926031,2.756223,1.880632,1
57850,3.25208,2.851102,1.906093,1.133866,0.624451,1
69084,3.529445,2.409355,1.875458,1.020092,0.830279,1
15610,7.868934,5.561934,3.926389,2.756496,1.880699,1
216962,2.29085,1.594114,1.031062,0.473226,0.374918,2
150948,2.677549,1.94013,1.367926,0.651768,0.096717,2
176781,2.61149,2.07866,1.483954,0.743024,0.253049,2
140806,3.024134,2.21147,1.400056,0.624026,0.316748,2
582115,1.483407,1.072835,0.563364,0.266435,0.140677,3
806555,1.099004,0.933953,0.485466,0.286082,0.040409,3
1969808,0.336838,0.273943,0.231358,0.184182,0.165916,3
2001213,0.641026,0.338186,0.200898,0.179402,0.166641,3
24748,5.848002,5.561807,3.926295,2.756555,1.880673,1
26874,7.868354,5.561552,3.926115,2.756294,1.880688,1
57929,3.733838,2.8522,1.906939,1.13463,0.626303,1
69030,3.469166,2.667104,2.122621,1.254613,0.830927,1
19828,7.868578,5.561678,3.92619,2.756299,1.880441,1
193301,2.417921,1.564047,1.057317,0.596817,0.251986,2
144316,2.999484,2.214113,1.499039,0.828741,0.041454,2
176853,2.493357,1.991743,1.358123,0.685005,0.253433,2
119124,3.635464,2.488108,1.622302,0.86557,0.269873,2
561928,1.521058,1.044792,0.550121,0.489068,0.156546,3
798166,1.233618,1.00084,0.524672,0.25368,0.037859,3
2176912,0.317808,0.204434,0.137917,0.115148,0.041299,3
1786582,0.515766,0.390453,0.207217,0.100856,0.088037,3
24820,7.868777,5.561831,3.926311,2.756576,1.880688,1
1434,7.826928,5.531638,3.904009,2.739377,1.868777,1
57736,4.097974,2.853096,1.907633,1.13526,0.62558,1
68979,3.819478,3.010535,2.122951,1.254592,0.831155,1
7534,7.863693,5.558161,3.923597,2.754416,1.879005,1
216916,2.669082,1.816507,1.140386,0.592629,0.374644,2
144292,3.111486,2.283835,1.499076,0.823408,0.042203,2
176906,2.90294,1.939227,1.475069,0.743115,0.253195,2
118998,3.63475,2.487578,1.621884,0.865154,0.269268,2
537101,2.135463,1.459953,0.731156,0.250455,0.103044,3
257108,3.091747,2.587147,1.749568,0.989541,0.087733,3
826468,1.502425,1.001206,0.449138,0.268333,0.015082,3
2184454,0.733782,0.361107,0.208489,0.121435,0.06769,3
1728756,0.98171,0.35291,0.224003,0.071233,0.067399,3
24744,7.870019,5.562728,3.926962,2.756917,1.880944,1
29538,7.869815,5.5626,3.926883,2.756872,1.88116,1
57780,4.126991,2.851244,1.906203,1.133965,0.623707,1
69103,3.161788,2.181931,1.672466,0.811549,0.830435,1
7390,7.863294,5.5579,3.923456,2.754281,1.878948,1
216986,2.5029,1.626265,1.052661,0.592724,0.375057,2
171328,2.631258,1.931932,1.295306,0.592964,0.151705,2
176781,2.681222,2.010986,1.434965,0.743024,0.253049,2
140877,3.227665,2.210639,1.399376,0.623185,0.316523,2
537094,2.044971,1.422086,0.691521,0.250419,0.103072,3
835688,1.675603,1.003943,0.472332,0.250367,0.047544,3
2186599,0.771429,0.455744,0.266831,0.105564,0.072855,3
1726954,0.942625,0.375826,0.229635,0.062911,0.018152,3
27432,7.134393,5.033498,3.538873,2.459485,1.880856,1
13,3.339737,2.253203,1.38675,0.5547,0,1
57760,3.592908,2.853313,1.907799,1.135413,0.6261,1
69028,3.69745,2.557662,1.96558,0.936316,0.831679,1
22205,7.86891,5.561925,3.926377,2.756467,1.880583,1
213270,2.674873,1.663658,1.005205,0.405124,0.285149,2
144321,3.409627,2.333692,1.49905,0.736978,0.04137,2
176853,2.808604,2.10667,1.504627,0.743025,0.253166,2
140876,3.265132,2.21186,1.400373,0.624382,0.317073,2
537051,1.850465,1.367325,0.656893,0.250619,0.103347,3
835346,1.8102,1.083047,0.527141,0.299786,0.121058,3
2183970,0.793823,0.487309,0.295834,0.017199,0.013173,3
1727132,0.934313,0.34493,0.212521,0.082748,0.067254,3
24797,7.868439,5.562315,3.926668,2.756691,1.880756,1
41767,6.325761,4.450403,3.927495,2.757551,1.881539,1
57810,3.767577,2.979591,2.005062,1.389716,0.808385,1
69003,3.41067,2.8265,2.028767,0.88725,0.831412,1
25186,7.870074,5.562756,3.926977,2.756913,1.880935,1
217045,2.665856,1.623665,0.978624,0.520022,0.374576,2
144317,3.257561,2.20618,1.499043,0.736974,0.041454,2
176853,2.578329,2.066362,1.475259,0.743032,0.25311,2
118997,3.635475,2.488117,1.62231,0.86558,0.269581,2
568183,1.990351,1.338628,0.665067,0.324137,0.141168,3
835659,1.794588,1.084363,0.537395,0.303101,0.059506,3
2178316,0.770118,0.448506,0.183378,0.07384,0.031005,3
1727026,0.944741,0.419928,0.276537,0.074288,0.026426,3
24771,7.265817,5.128127,3.926467,2.756674,1.880777,1
23900,7.865663,5.559635,3.924747,2.755292,1.879931,1
57785,3.906755,2.852605,1.907251,1.134916,0.624664,1
69075,3.861896,2.655784,2.122236,1.254545,0.830638,1
13,3.37411,2.287087,1.441153,0.919866,0.960769,1
183444,2.708732,1.78989,1.277917,0.549818,0.239154,2
144292,3.42795,2.333663,1.499029,0.823429,0.041708,2
176854,2.526238,2.011675,1.43538,0.742912,0.253444,2
140827,3.2163,2.211251,1.399873,0.623774,0.316725,2
537332,1.625429,1.141456,0.634788,0.250423,0.10227,3
836544,1.441982,0.996686,0.434312,0.261761,0.017218,3
2186283,0.507121,0.323889,0.195606,0.143174,0.066068,3
1723046,0.607873,0.352173,0.224726,0.107227,0.04722,3
24796,7.868761,5.561825,3.926305,2.756542,1.880676,1
4235,7.840199,5.541408,3.911416,2.745136,1.872816,1
57737,4.12941,2.853025,1.907576,1.135204,0.625824,1
68978,3.827379,2.638662,2.089824,0.972281,0.831144,1
119,6.988586,4.927201,3.459247,2.40098,1.582467,1
216938,2.445633,1.696844,1.04625,0.592631,0.374779,2
144316,2.739368,2.036217,1.376492,0.694435,0.041953,2
176926,2.872505,1.915199,1.460487,0.712097,0.253147,2
140877,3.037762,2.04067,1.306859,0.62417,0.317273,2
537024,1.691373,1.197672,0.709642,0.360963,0.103006,3
767928,1.570189,1.127133,0.539719,0.31158,0.194671,3
2176448,0.417373,0.321888,0.243893,0.185474,0.073407,3
1717071,0.587439,0.408752,0.172883,0.102187,0.042456,3
28176,6.616312,4.660115,3.46319,2.401074,1.881007,1
32880,7.869856,5.562605,3.926871,2.757141,1.881212,1
57755,3.675859,2.543307,1.878064,1.108533,0.62603,1
69028,3.846773,2.644612,2.104994,0.977236,0.831226,1
20031,7.869936,5.56266,3.926907,2.756904,1.881001,1
214495,2.582997,1.743196,1.074673,0.514672,0.375197,2
144345,3.111414,2.179051,1.373535,0.648358,0.041948,2
176810,2.624237,2.107258,1.504669,0.743081,0.252917,2
