@relation 'multiresolution-weka.filters.unsupervised.attribute.Remove-R7,9-11'

@attribute rate numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute sigma4 numeric
@attribute sigma8 numeric
@attribute sigma16 numeric
@attribute class {1,2,3}

@data
591982,1.837527,1.148572,0.399539,0.234146,0.099358,3
615453,1.770962,1.191343,0.457892,0.2929,0.072242,3
610634,1.889727,1.174934,0.550322,0.25701,0.14542,3
536998,2.083415,1.382046,0.75411,0.267508,0.10328,3
2111257,1.018987,0.91255,0.539348,0.503426,0.0625,3
1458947,1.266257,1.058011,0.67777,0.646627,0.389172,3
1245161,1.412706,1.137737,0.710814,0.66563,0.432175,3
1068427,1.529578,1.261077,0.808871,0.724464,0.513596,3
768286,1.740605,1.160561,0.527734,0.248591,0.164792,3
767888,1.745886,1.249362,0.557057,0.298832,0.164558,3
776320,1.668401,1.065022,0.48983,0.288641,0.183933,3
835401,1.622285,1.040423,0.421887,0.302175,0.016629,3
2755909,0.641568,0.327089,0.224548,0.218961,0,3
2321627,0.807409,0.385701,0.300755,0.272202,0.187059,3
2324193,0.786898,0.365007,0.258682,0.224713,0.152572,3
2229071,0.815911,0.426878,0.275353,0.220463,0.156344,3
2082418,0.829633,0.410736,0.245498,0.168044,0.085162,3
2176214,0.735293,0.400156,0.223889,0.143802,0.066983,3
2120927,0.723558,0.325494,0.161328,0.142381,0.111386,3
2183699,0.634879,0.307815,0.132559,0.102836,0.063021,3
2907677,0.209186,0.166824,0.12178,0.086295,0,3
3245484,0.310719,0.210566,0.144423,0.118436,0.104084,3
2711513,0.5296,0.396205,0.324109,0.301607,0.296492,3
2393537,0.631224,0.478725,0.405573,0.378473,0.370887,3
2109275,0.775191,0.547109,0.451071,0.41518,0.407332,3
1635383,0.903107,0.437984,0.249867,0.126355,0.07453,3
1667621,0.885367,0.448935,0.261587,0.112092,0.085816,3
1765374,0.854518,0.365399,0.238421,0.109372,0.054017,3
2237650,0.894701,0.836004,0.806649,0.787284,0,1
1189842,1.500093,1.427399,1.391265,1.368483,0.880627,1
793235,1.968586,1.885769,1.844817,1.819077,1.289656,1
616758,2.26463,2.166208,2.117282,2.087071,1.519546,1
57348,4.748408,3.282326,2.210614,1.394433,1.055085,1
21847,7.930134,5.562686,3.869324,2.643614,1.730412,1
46922,5.529189,3.874056,2.68098,1.383661,0.955613,1
24747,7.869054,5.562031,3.926462,2.756669,1.880776,1
2235317,0.713331,0.660694,0.612723,0.500855,0,1
1192371,1.299563,1.242185,1.198198,1.098819,0.874682,1
794918,1.741624,1.677646,1.628951,1.520221,1.283579,1
627368,2.003603,1.916252,1.854357,1.733957,1.482504,1
68540,4.232306,2.907952,2.268606,1.440159,1.007949,1
31194,7.93144,5.563614,3.869998,2.643939,1.730958,1
64548,5.522097,3.868911,2.677138,1.782927,0.977579,1
32880,7.870112,5.562789,3.927007,2.756942,1.881148,1
2404431,0.608293,0.569338,0.5453,0.239939,0,1
1202229,1.319082,1.283835,1.262793,1.05598,0.999977,1
835469,1.683979,1.637819,1.610943,1.389144,1.328839,1
631865,2.008474,1.957217,1.927459,1.685835,1.620755,1
55986,4.144949,2.84434,1.882863,1.347573,0.822534,1
61247,3.82945,2.61387,1.707681,1.188326,0.656115,1
36329,4.767145,3.31993,2.264508,1.444439,1.082264,1
57715,4.128966,2.852698,1.907326,1.134978,0.625555,1
1944816,0.93998,0.879204,0.737771,0.585968,0.124998,1
921039,1.665144,1.588469,1.418419,1.250274,0.912245,1
600684,2.191039,2.099913,1.899527,1.704371,1.326326,1
475173,2.4792,2.358393,2.13157,1.916167,1.511296,1
66241,4.180216,3.203871,2.152368,1.34771,0.822606,1
59934,4.567306,3.522362,2.388198,1.533532,1.0019,1
