rate,sigma1,sigma2,sigma4,sigma8,sigma16,duration,output,outputdesc,time,flow_count
711321,1749.77741442,1667.76647046,1609.09011556,1591.46441996,1070.28033711,64,2,YT7,2016-10-26 12:40:58.116017,5.95384615385
177337,1250.91686374,886.741224935,551.809749823,252.186438969,109.210805326,80,2,YT7,2016-10-26 12:40:58.116915,6.0
179782,1265.38808276,895.564626367,595.40574401,295.590933555,105.560409245,96,2,YT7,2016-10-26 12:40:58.117789,6.0
179218,1212.73327653,808.260477816,574.767779194,310.404574709,64.976918979,112,2,YT7,2016-10-26 12:40:58.118637,6.0
176853,1202.15348438,800.965042933,602.980099174,312.494799957,106.442472726,128,2,YT7,2016-10-26 12:40:58.119494,6.0
956720,1727.90248567,1639.40172014,1613.64959021,978.096109797,0.0,16,2,YT8,2016-10-26 12:44:01.075859,6.0
532437,1764.17544479,1671.28034752,1640.79736714,1095.20454711,581.461950604,32,2,YT8,2016-10-26 12:44:01.076538,6.0
408810,1697.10341465,1609.63908998,1564.34299308,1059.72543614,606.90361673,48,2,YT8,2016-10-26 12:44:01.077279,6.0
338177,1682.96256643,1573.47990137,1516.02803404,1036.45019176,614.983739622,64,2,YT8,2016-10-26 12:44:01.078168,6.0
138427,1123.86920947,820.469987263,517.080264562,253.966533228,59.6573549531,80,2,YT8,2016-10-26 12:44:01.079048,6.0
143383,1214.78763576,879.3037018,561.155949804,292.877107333,43.1045241245,96,2,YT8,2016-10-26 12:44:01.079984,6.0
144686,1294.7049857,880.797366027,564.660960223,292.842961329,42.6028168083,112,2,YT8,2016-10-26 12:44:01.080756,6.0
118949,1254.00119617,858.247050679,559.614152787,298.626857466,93.0268778365,128,2,YT8,2016-10-26 12:44:01.081520,6.0
2397934,1414.67310712,1306.7092255,1256.219726,1205.90795669,96.7780966955,16,3,YT9,2016-10-26 12:47:04.058165,2.0
1536723,1567.21696009,1449.59270142,1385.33930862,1342.8581459,815.620622594,32,3,YT9,2016-10-26 12:47:04.058840,2.0
1206410,1574.67964996,1437.29920337,1348.97553721,1308.60039737,863.595391373,48,3,YT9,2016-10-26 12:47:04.059572,2.0
1045231,1554.32171702,1386.56265636,1287.53368888,1250.78615279,848.625359037,64,3,YT9,2016-10-26 12:47:04.060408,2.04615384615
579402,1124.64572199,749.94066432,289.912055631,190.40220587,62.5779513886,80,3,YT9,2016-10-26 12:47:04.061270,2.29230769231
615618,1241.06405959,808.686589477,271.304257246,193.961336353,83.4505841801,96,3,YT9,2016-10-26 12:47:04.062090,2.53846153846
610779,1349.36466531,949.863674429,405.690768936,234.014956787,68.7822651561,112,3,YT9,2016-10-26 12:47:04.062856,2.796875
549344,1422.89599058,970.228323643,494.101204208,250.319795462,80.6473806146,128,3,YT9,2016-10-26 12:47:04.063622,3.0
2375008,1467.7251105,1256.00875793,1094.7748627,1037.99566473,0.0,16,3,YT10,2016-10-26 12:51:33.580483,6.0
1593277,1599.9284359,1342.71664919,1138.10720057,1089.4682189,619.314136767,32,3,YT10,2016-10-26 12:51:33.581900,6.0
1349581,1607.65356965,1306.3927434,1056.17612168,1011.32190721,624.405317082,48,3,YT10,2016-10-26 12:51:33.583529,6.0
1169370,1627.68578049,1297.2154794,1035.74369416,984.778655333,648.684823316,64,3,YT10,2016-10-26 12:51:33.585401,6.0
786900,1496.031751,992.606669331,389.291664437,185.229587269,104.966661374,80,3,YT10,2016-10-26 12:51:33.587389,6.0
795441,1511.48833935,1030.76719001,430.47415718,248.945777229,108.18502669,96,3,YT10,2016-10-26 12:51:33.589013,6.0
775098,1572.55365568,1035.25793887,546.660772326,279.864252808,161.823978446,112,3,YT10,2016-10-26 12:51:33.590672,6.0
835252,1561.89916448,978.696582195,487.242239548,298.377277955,15.0996688705,128,3,YT10,2016-10-26 12:51:33.592245,6.0
2748566,1145.18339143,718.018801982,356.766029773,296.905708938,0.0,16,3,YT11,2016-10-26 12:54:37.299482,5.82352941176
2223092,1160.38786619,705.884551467,466.938968175,423.225708104,352.428716197,32,3,YT11,2016-10-26 12:54:37.300894,5.90909090909
2309925,1257.11534873,858.867859452,393.288698032,350.018570936,293.632423278,48,3,YT11,2016-10-26 12:54:37.302481,5.9387755102
2158361,1246.53038471,845.031952059,428.372501452,394.560515004,318.015722882,64,3,YT11,2016-10-26 12:54:37.304342,5.95384615385
2072598,1162.93636971,771.440211552,358.209435945,326.396997535,259.077208569,80,3,YT11,2016-10-26 12:54:37.306212,6.0
2184849,1136.03829161,746.008042852,338.805253796,303.394133101,206.016989591,96,3,YT11,2016-10-26 12:54:37.308069,6.0
2095294,1029.55670072,380.988188793,268.294614184,191.1386931,164.887840668,112,3,YT11,2016-10-26 12:54:37.309883,6.0
2184328,998.715174612,316.968452689,231.397925661,126.846363763,92.5850959928,128,3,YT11,2016-10-26 12:54:37.311673,6.0
4063217,171.39719951,124.691619606,76.8960337079,29.6984848098,0.0,16,3,YT12,2016-10-26 12:57:41.409417,5.70588235294
